augmentation_couple,augmentation_1,augmentation_2,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
Drop_Noise,Drop,Noise,0.7341513633728027,0.7672039270401001,0.7171742916107178,0.7011494040489197,0.7001537680625916,0.6678589582443237,0.7839979529380798,0.7678571343421936,0.7338111400604248,0.6677740812301636,0.7241132855415344
Drop_Scaling,Drop,Scaling,0.8172757625579834,0.7342872023582458,0.7346261739730835,0.7671443223953247,0.7669057250022888,0.8505747318267822,0.8172290325164795,0.7512755393981934,0.8173224329948425,0.8172757625579834,0.7873916625976562
Drop_Magnitude Warp,Drop,Magnitude Warp,0.8339719176292419,0.7672634124755859,0.7342192530632019,0.8005114793777466,0.7679755091667175,0.8008679747581482,0.7836661338806152,0.8340566754341125,0.7346261739730835,0.8170887231826782,0.7874247431755066
Drop_Random Sampling,Drop,Random Sampling,0.8175554871559143,0.8504601120948792,0.8010711669921875,0.7675012946128845,0.7843287587165833,0.8009188175201416,0.8009188175201416,0.8504601120948792,0.8506510257720947,0.783942699432373,0.8107807040214539
Drop_Flip,Drop,Flip,0.8171355724334717,0.5526382923126221,0.7178963422775269,0.8007153868675232,0.8173224329948425,0.7839980125427246,0.6186224222183228,0.7841083407402039,0.7341513633728027,0.7673229575157166,0.7393911480903625
Drop_Drop,Drop,Drop,0.8008171319961548,0.7506393790245056,0.7677978873252869,0.7012256979942322,0.8007153868675232,0.7176800966262817,0.7179683446884155,0.7344229221343994,0.7344229221343994,0.7176800966262817,0.7443369626998901
Drop_Noise+Scaling,Drop,Noise+Scaling,0.6516969203948975,0.8339718580245972,0.8174623250961304,0.7348291873931885,0.7512755393981934,0.8342259526252747,0.7348291873931885,0.7676200270652771,0.8174623250961304,0.8342682123184204,0.7777641415596008
Noise+Scaling_Noise,Noise+Scaling,Noise,0.8340142965316772,0.7176800966262817,0.8173691034317017,0.7346261739730835,0.717391312122345,0.8340142965316772,0.7673228979110718,0.6686209440231323,0.8006644248962402,0.7180403470993042,0.7609744071960449
Noise+Scaling_Scaling,Noise+Scaling,Scaling,0.7181841135025024,0.684868574142456,0.800613522529602,0.7018347978591919,0.8839285373687744,0.7673229575157166,0.8671775460243225,0.900306761264801,0.7514023780822754,0.7346938848495483,0.7810333371162415
Noise+Scaling_Magnitude Warp,Noise+Scaling,Magnitude Warp,0.734083354473114,0.7016828060150146,0.7345584630966187,0.6179401874542236,0.7175357341766357,0.7342871427536011,0.6517857313156128,0.5697556138038635,0.6343646049499512,0.7178963422775269,0.6813889741897583
Noise+Scaling_Random Sampling,Noise+Scaling,Random Sampling,0.8506510257720947,0.7838874459266663,0.700690746307373,0.7673823833465576,0.7840531468391418,0.8171823024749756,0.8670417070388794,0.8835423588752747,0.7675606608390808,0.833759605884552,0.8055750727653503
Noise+Scaling_Flip,Noise+Scaling,Flip,0.8009188175201416,0.8338021039962769,0.8338870406150818,0.7841634750366211,0.6674340963363647,0.7672634124755859,0.7344228625297546,0.8506128787994385,0.7676793336868286,0.8339294791221619,0.7874113321304321
Noise+Scaling_Drop,Noise+Scaling,Drop,0.7342193126678467,0.8004604578018188,0.7673823833465576,0.8504601120948792,0.8008171319961548,0.7019108533859253,0.8008171319961548,0.8009696006774902,0.7514023780822754,0.7673823833465576,0.7775821685791016
Noise+Scaling_Noise+Scaling,Noise+Scaling,Noise+Scaling,0.7340153455734253,0.8009188175201416,0.800868034362793,0.800868034362793,0.7511485815048218,0.8009188771247864,0.8173691034317017,0.7842186093330383,0.7517188787460327,0.7677386403083801,0.7809783220291138
