TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
39:46.3,1.1067748,0.2414351,0.6713049,1.1581305,0.5305561,-0.20869242,-0.27163196,0.6656445,0.7222616,0.17153013,0.09181397,0.90383035,0.43795067,-0.2858303,0.1479544,0.5288641,0.36487228,-0.35313627,-0.029418683,0.53025514,841.31866,854.61536,872.74725,989.59705,989.59705,95.99996,0,0.147949219,0.294189453,0.939025879,0.657958984,3.342132568,2.220611572,1,1,1,1,1,64.61,NaN
39:46.9,1.1060294,0.24528569,0.33084264,1.1523831,0.20557848,-0.34406805,-0.5944026,0.30558184,0.72774935,-0.14750996,0.06340133,0.89605445,0.26054683,-0.38099176,0.08419166,0.43039978,0.09446639,-0.60140485,-0.15691048,0.30794185,828.4249,848.5714,842.9304,841.7216,764.7619,100,0,0.144226074,0.297607422,0.943237305,0.628051758,2.437438965,1.973876953,1,1,1,1,1,64.61,NaN
39:47.4,1.0062965,0.102183975,0.052996844,1.0153124,0.2155258,-0.3253433,-0.35334837,0.24542595,0.739517,0.123972446,0.12180353,0.8506264,0.22944956,-0.33371216,0.009017022,0.4756285,0.061856017,-0.60780823,-0.2847847,0.23189904,828.4249,864.68866,861.8681,903.36993,831.6484,100,0,0.149475098,0.299133301,0.94317627,0.986938477,2.557067871,1.749572754,1,1,1,1,1,64.61,NaN
39:47.9,0.76083636,0.056470305,0.03370742,0.7892679,0.23224284,-0.39410228,-0.21059458,0.30283314,0.78882664,0.13092008,0.14413147,0.77858824,0.26651427,-0.34949115,-0.022878068,0.4950774,-0.000297,-0.5700561,-0.33623332,0.14577745,799.41394,867.50916,849.7802,838.49817,938.4249,100,0,0.149108887,0.300842285,0.937194824,0.84487915,3.020629883,2.706604004,1,1,1,1,1,64.61,NaN
39:48.4,0.5863239,0.3118749,0.45642072,0.6034916,0.27710423,-0.25351915,-0.117296144,0.4154533,0.91885877,0.12574549,0.11625653,0.8743063,0.4570986,-0.37434188,0.07909091,0.609278,0.35299686,-0.5165643,-0.30655617,0.34911638,814.7253,859.85345,879.19415,956.9597,996.04395,100,2,0.148986816,0.299072266,0.940124512,0.785064697,2.811279297,2.699127197,1,1,1,1,1,64.61,NaN
39:48.9,0.78206563,0.4205047,0.71690714,0.7230401,0.327928,-0.100028455,-0.06152095,0.4780726,0.95385796,0.08960734,0.084462985,0.8902856,0.72362506,-0.26160264,0.23101741,0.7474879,0.6711411,-0.20673403,-0.038989786,0.673785,867.1062,855.42126,842.1245,857.8388,750.2564,100,11.999999,0.151489258,0.301391602,0.94140625,1.016845703,2.497253418,2.160797119,1,1,1,1,1,64.61,NaN
39:49.4,1.3238585,0.49661928,0.75167924,1.3401318,0.3822238,-0.058667146,-0.03672886,0.40079653,0.97216046,-0.17392917,0.16465595,0.9207404,0.80984074,-0.16635719,0.28820783,0.78583884,0.7715984,-0.10473284,0.07665597,0.75625277,843.73627,858.24176,872.74725,946.4835,1018.20514,100,21.999996,0.145874023,0.298156738,0.939453125,0.568237305,2.80380249,2.138366699,1,1,1,1,1,64.61,NaN
39:49.9,1.3883358,0.30388808,0.6295939,1.4166842,0.25595024,-0.1489918,-0.048581034,0.2289187,0.9668909,-0.21098128,0.19740169,0.9095707,0.72917795,-0.17793812,0.23548755,0.73529285,0.6840129,-0.13164191,0.07800442,0.6889145,836.08057,858.24176,875.16486,928.3516,919.89014,94.00001,32,0.151611328,0.295593262,0.944091797,0.710296631,2.73651123,2.086029053,1,1,1,1,1,64.61,NaN
39:50.4,1.2790725,0.10516246,0.24927558,1.3319467,0.08857292,-0.4375866,-0.18445544,0.05923656,0.79120946,-0.20022628,0.15597235,0.71286875,0.4286679,-0.31112632,0.116673246,0.4862082,0.3319962,-0.5206383,-0.121251225,0.28953657,829.6337,858.24176,877.98535,966.2271,977.50916,84.000015,23.999996,0.147644043,0.294555664,0.938781738,0.553283691,1.95892334,2.91595459,1,1,1,1,1,64.61,NaN
39:50.9,0.8310237,0.0883046,0.09070278,0.84479576,-0.06721568,-0.4884659,-0.25618392,-0.051297184,0.6383403,-0.31065202,0.036028672,0.59793377,0.25432396,-0.40396115,0.090118095,0.3790583,0.036059402,-0.7152823,-0.29285008,0.06279166,844.5421,856.63007,838.0952,790.54944,804.2491,86.000015,15.999998,0.148742676,0.297363281,0.942016602,1.188812256,3.484191895,2.601928711,1,1,1,1,1,64.61,NaN
39:51.4,0.5294122,0.1939651,-0.0659228,0.39645827,-0.035412345,-0.41155568,-0.30873206,-0.105064206,0.4513476,-0.14159743,-0.19205776,0.3508496,0.3053881,-0.36355412,0.07047558,0.3660182,-0.0941637,-0.7554755,-0.25792632,0.03913977,830.4396,857.8388,877.1795,960.18317,1018.20514,96,17.999998,0.146240234,0.296813965,0.941955566,0.672912598,2.033691406,2.534637451,1,1,1,1,1,64.61,NaN
39:51.9,0.83445686,0.3219697,0.2399653,0.7164228,0.3086095,-0.15433268,-0.09462433,0.12050854,1.1807275,0.06753589,0.20799823,1.0308037,0.34216738,-0.34990254,0.09471614,0.3807714,0.006458883,-0.57502425,-0.18732771,0.10841273,812.3077,857.8388,862.674,891.685,859.45056,100,11.999999,0.148803711,0.295837402,0.94152832,1.128997803,3.327178955,2.160797119,1,1,1,1,1,64.61,NaN
39:52.4,1.0135413,0.3857127,0.53505635,0.9103688,0.7270018,-0.16273732,0.11761997,0.61053336,1.2489067,0.07015862,0.26128966,1.1419437,0.4246446,-0.3370828,0.075425304,0.37005356,0.13990998,-0.51973784,-0.06699267,0.183221,816.337,858.6447,858.6447,845.7509,919.4872,100,2,0.150939941,0.29510498,0.938964844,0.590667725,2.631835938,2.0262146,1,1,1,1,1,64.61,NaN
39:52.9,1.089754,0.37323222,0.71062344,1.0325841,0.8068034,-0.094438754,0.14318079,0.67805475,1.251525,0.05670271,0.2742048,1.14695,0.43141696,-0.38881,0.1637688,0.28968588,0.15890959,-0.45079756,-0.13000567,0.20014898,832.4542,863.0769,872.74725,969.0476,1004.90845,100,0,0.14239502,0.294494629,0.944396973,0.650482178,2.75894165,2.056121826,1,1,1,1,1,63.94,NaN
39:53.5,0.96976113,0.27257553,0.6928311,0.9564459,0.77298903,-0.17699768,0.028859159,0.68059075,1.2447019,-0.03370679,0.25931048,1.1392435,0.33600858,-0.45274615,0.15673111,0.28634164,0.044657964,-0.51669896,-0.2073009,0.14800061,845.7509,857.4359,845.7509,845.34796,762.3443,100,0,0.145690918,0.296264648,0.940307617,0.84487915,2.863616943,2.205657959,1,1,1,1,1,63.94,NaN
39:54.0,0.7089191,0.025899075,0.5955544,0.7849779,0.43003997,-0.19419412,-0.26966643,0.365241,0.9672501,-0.2582897,-0.12565473,0.74698746,0.25232792,-0.5352915,0.1508872,0.26624578,-0.0658783,-0.54156655,-0.30219498,0.14825282,836.08057,852.6007,825.6044,733.73627,726.08057,100,0,0.140563965,0.296508789,0.938354492,0.82244873,3.072967529,2.811279297,1,1,1,1,1,63.94,NaN
39:54.5,0.2977207,-0.06054068,0.35472175,0.4704255,0.30161515,-0.3355713,-0.37805808,0.34372774,0.8400012,-0.2407318,-0.3284834,0.5069559,0.24425384,-0.50255215,0.13925608,0.34606507,-0.07270085,-0.57987887,-0.2811332,0.1113283,841.7216,857.03296,865.4945,941.6484,901.75824,100,0,0.144287109,0.297546387,0.946350098,0.792541504,2.773895264,2.00378418,1,1,1,1,1,63.94,NaN
39:55.0,0.25612667,-0.11795439,0.2133643,0.45170194,0.23313881,-0.42084214,-0.46839762,0.2110774,0.84137124,-0.29957908,-0.334472,0.588943,0.32583335,-0.5139447,0.18553874,0.3420364,-0.03188148,-0.6621775,-0.29156658,0.14984807,838.49817,849.3773,869.92676,969.85345,964.21246,100,0,0.143432617,0.297790527,0.939819336,0.770111084,2.601928711,2.96081543,1,1,1,1,1,63.94,NaN
